click_id,customer_id,anonymous_id,channel,clicked_at,campaign,utm_source,utm_medium
CLK000051,CUST0080,,tiktok,2023-01-25T20:01:09,Campaign_3,facebook,organic
CLK000052,CUST0106,,meta_ads,2023-05-08T04:57:21,Campaign_4,newsletter,email
CLK000053,CUST0192,,organic,2023-09-22T00:37:11,Campaign_8,newsletter,email
CLK000054,,lUOgPNBzcI,google_ads,2023-04-27T08:04:07,Campaign_10,newsletter,cpc
CLK000055,CUST0132,,google_ads,2023-07-02T15:37:44,Campaign_8,google,cpm
CLK000056,CUST0445,,email,2023-01-12T14:11:08,Campaign_7,google,cpc
CLK000057,CUST0247,,tiktok,2023-06-03T03:24:13,Campaign_7,newsletter,email
CLK000058,CUST0427,,tiktok,2023-07-04T07:17:16,Campaign_3,google,email
CLK000059,CUST0062,,meta_ads,2023-04-23T13:25:13,Campaign_4,tiktok,email
CLK000060,CUST0217,,email,2023-09-12T22:24:15,Campaign_4,google,cpm
CLK000061,CUST0079,,tiktok,2023-10-22T01:19:16,Campaign_4,newsletter,organic
CLK000062,CUST0367,,meta_ads,2023-12-10T03:32:11,Campaign_6,tiktok,email
CLK000063,,LUzqaYNMIj,meta_ads,2023-09-11T09:21:18,Campaign_10,tiktok,email
CLK000064,CUST0431,,organic,2023-04-15T02:12:56,Campaign_7,google,cpm
CLK000065,CUST0349,,organic,2023-02-04T05:46:50,Campaign_5,facebook,email
CLK000066,CUST0344,,meta_ads,2023-02-11T16:15:51,Campaign_10,newsletter,cpm
CLK000067,CUST0441,,organic,2023-05-10T14:44:10,Campaign_7,tiktok,organic
CLK000068,CUST0115,,email,2023-12-03T21:34:43,Campaign_1,tiktok,cpc
CLK000069,CUST0323,,email,2023-11-21T23:54:35,Campaign_6,newsletter,email
CLK000070,CUST0112,,google_ads,2023-01-24T22:45:10,Campaign_7,facebook,email
CLK000071,CUST0075,,google_ads,2023-11-04T19:01:43,Campaign_1,tiktok,cpc
CLK000072,,ucATYQScpV,google_ads,2023-02-05T02:38:39,Campaign_4,tiktok,cpm
CLK000073,CUST0448,,organic,2023-10-18T17:41:16,Campaign_4,newsletter,organic
CLK000074,CUST0477,,meta_ads,2023-07-07T11:22:33,Campaign_3,tiktok,email
CLK000075,CUST0226,,organic,2023-07-02T01:39:21,Campaign_1,tiktok,organic
CLK000076,CUST0153,,email,2023-08-19T04:35:28,Campaign_10,google,email
CLK000077,CUST0046,,meta_ads,2023-09-27T06:54:37,Campaign_10,newsletter,cpc
CLK000078,CUST0167,,tiktok,2023-10-01T07:55:14,Campaign_9,facebook,email
CLK000079,CUST0005,,google_ads,2023-09-13T02:21:32,Campaign_3,facebook,cpm
CLK000080,CUST0398,,google_ads,2023-03-24T09:19:57,Campaign_3,newsletter,cpm
CLK000081,,ynbdwCBdze,meta_ads,2023-10-16T02:32:21,Campaign_10,google,organic
CLK000082,CUST0089,,tiktok,2023-01-25T12:21:40,Campaign_10,tiktok,email
CLK000083,CUST0386,,google_ads,2023-07-03T15:56:43,Campaign_7,tiktok,organic
CLK000084,CUST0286,,email,2023-03-02T18:47:17,Campaign_3,facebook,organic
CLK000085,CUST0186,,meta_ads,2023-09-26T06:45:14,Campaign_9,tiktok,email
CLK000086,CUST0343,,google_ads,2023-12-04T17:30:19,Campaign_7,facebook,cpc
CLK000087,CUST0402,,meta_ads,2023-10-26T04:13:00,Campaign_3,facebook,cpm
CLK000088,CUST0409,,meta_ads,2023-05-19T13:45:07,Campaign_3,newsletter,email
CLK000089,CUST0054,,tiktok,2023-10-10T00:40:17,Campaign_4,tiktok,email
CLK000090,,pXvISzvJqx,meta_ads,2023-12-15T07:23:57,Campaign_9,facebook,cpc
CLK000091,CUST0389,,google_ads,2023-12-25T13:47:30,Campaign_2,tiktok,cpc
CLK000092,CUST0270,,email,2023-01-20T01:48:36,Campaign_9,newsletter,organic
CLK000093,CUST0207,,tiktok,2023-11-15T00:00:01,Campaign_6,google,organic
CLK000094,CUST0278,,google_ads,2023-09-10T15:11:43,Campaign_1,tiktok,cpc
CLK000095,CUST0056,,google_ads,2023-08-07T06:19:53,Campaign_9,newsletter,email
CLK000096,CUST0305,,organic,2023-11-09T03:10:21,Campaign_5,tiktok,email
CLK000097,CUST0223,,google_ads,2023-08-17T11:05:34,Campaign_4,newsletter,email
CLK000098,CUST0193,,meta_ads,2023-11-19T08:52:12,Campaign_7,tiktok,email
CLK000099,,NmlpxoDYky,meta_ads,2023-03-02T16:02:51,Campaign_7,facebook,cpc
CLK000100,CUST0316,,google_ads,2023-05-14T22:57:47,Campaign_1,facebook,cpm
CLK000101,CUST0249,,tiktok,2023-03-22T06:55:09,Campaign_9,newsletter,cpm
CLK000102,CUST0148,,tiktok,2023-01-20T12:37:54,Campaign_6,facebook,cpc
CLK000103,CUST0308,,tiktok,2023-01-04T08:50:22,Campaign_6,google,organic
CLK000104,CUST0243,,meta_ads,2023-10-19T20:56:34,Campaign_7,google,email
CLK000105,CUST0443,,email,2023-06-15T20:33:24,Campaign_3,google,organic
CLK000106,CUST0182,,email,2023-07-09T01:25:00,Campaign_8,facebook,email
CLK000107,CUST0194,,google_ads,2023-08-11T04:44:06,Campaign_9,tiktok,cpc
CLK000108,,FeNzLusFHB,email,2023-06-24T22:02:15,Campaign_5,tiktok,organic
CLK000109,CUST0232,,google_ads,2023-04-06T01:08:41,Campaign_2,tiktok,organic
CLK000110,CUST0136,,email,2023-12-29T05:26:56,Campaign_7,google,email
CLK000111,CUST0125,,email,2023-05-05T07:51:15,Campaign_3,tiktok,email
CLK000112,CUST0129,,organic,2023-07-05T03:27:09,Campaign_8,tiktok,cpm
CLK000113,CUST0225,,meta_ads,2023-01-31T19:40:42,Campaign_3,facebook,organic
CLK000114,CUST0264,,organic,2023-06-22T13:52:49,Campaign_6,newsletter,cpc
CLK000115,CUST0403,,email,2023-02-01T14:32:55,Campaign_9,newsletter,organic
CLK000116,CUST0192,,organic,2023-08-19T03:41:15,Campaign_9,facebook,cpm
CLK000117,,LQcOVqaoMw,organic,2023-05-06T02:02:41,Campaign_9,tiktok,organic
CLK000118,CUST0017,,tiktok,2023-10-11T06:05:58,Campaign_10,google,cpm
CLK000119,CUST0142,,tiktok,2023-12-26T10:49:43,Campaign_3,tiktok,email
CLK000120,CUST0065,,organic,2023-02-10T01:24:59,Campaign_3,facebook,cpm
CLK000121,CUST0127,,google_ads,2023-10-28T21:26:27,Campaign_7,tiktok,cpm
CLK000122,CUST0104,,tiktok,2023-12-07T16:51:36,Campaign_4,tiktok,email
CLK000123,CUST0161,,email,2023-09-18T09:56:34,Campaign_9,google,email
CLK000124,CUST0416,,meta_ads,2023-07-15T15:28:07,Campaign_3,google,email
CLK000125,CUST0470,,google_ads,2023-07-24T00:35:29,Campaign_8,newsletter,organic
CLK000126,,GAShKyjSwc,organic,2023-06-26T23:01:33,Campaign_4,facebook,email
CLK000127,CUST0433,,organic,2023-06-09T23:19:34,Campaign_1,newsletter,email
CLK000128,CUST0258,,tiktok,2023-12-28T03:36:11,Campaign_6,google,cpc
CLK000129,CUST0352,,tiktok,2023-04-18T17:56:28,Campaign_6,google,email
CLK000130,CUST0361,,meta_ads,2023-08-22T06:00:38,Campaign_7,facebook,cpc
CLK000131,CUST0352,,google_ads,2023-01-07T16:28:51,Campaign_8,facebook,cpm
CLK000132,CUST0354,,meta_ads,2023-06-07T04:39:00,Campaign_6,facebook,email
CLK000133,CUST0265,,meta_ads,2023-05-15T05:31:16,Campaign_5,newsletter,cpm
CLK000134,CUST0009,,tiktok,2023-08-30T05:33:23,Campaign_5,google,organic
CLK000135,,wgxqERXXwo,tiktok,2023-08-04T00:04:23,Campaign_2,newsletter,cpc
CLK000136,CUST0260,,email,2023-04-29T02:57:39,Campaign_1,newsletter,organic
CLK000137,CUST0365,,tiktok,2023-10-25T00:35:07,Campaign_4,google,organic
CLK000138,CUST0101,,organic,2023-05-12T13:12:28,Campaign_10,newsletter,cpm
CLK000139,CUST0224,,email,2023-03-26T05:53:19,Campaign_10,tiktok,cpc
CLK000140,CUST0394,,organic,2023-10-15T16:22:58,Campaign_1,tiktok,cpc
CLK000141,CUST0409,,meta_ads,2023-11-27T21:43:56,Campaign_1,newsletter,email
CLK000142,CUST0230,,meta_ads,2023-01-26T04:13:14,Campaign_3,google,organic
CLK000143,CUST0199,,email,2023-04-05T02:41:52,Campaign_9,newsletter,cpc
CLK000144,,RjSBrxTCip,email,2023-03-08T06:33:53,Campaign_5,google,cpm
CLK000145,CUST0243,,google_ads,2023-07-06T04:43:56,Campaign_4,google,email
CLK000146,CUST0353,,meta_ads,2023-08-08T22:50:38,Campaign_1,tiktok,cpm
CLK000147,CUST0018,,organic,2023-08-06T04:44:56,Campaign_5,facebook,email
CLK000148,CUST0399,,email,2023-12-27T17:38:50,Campaign_2,newsletter,email
CLK000149,CUST0083,,meta_ads,2023-07-28T01:22:02,Campaign_7,newsletter,organic
CLK000150,CUST0342,,organic,2023-01-18T20:04:44,Campaign_7,newsletter,email
CLK000151,CUST0191,,tiktok,2023-08-08T01:59:47,Campaign_6,newsletter,cpm
CLK000152,CUST0377,,tiktok,2023-04-23T20:41:15,Campaign_2,google,organic
CLK000153,,XNIwUgYpjJ,email,2023-09-10T19:37:59,Campaign_10,google,cpc
CLK000154,CUST0322,,email,2023-12-21T03:56:39,Campaign_6,tiktok,email
CLK000155,CUST0078,,meta_ads,2023-05-14T01:22:39,Campaign_8,tiktok,organic
CLK000156,CUST0402,,organic,2023-09-02T09:20:55,Campaign_3,google,cpc
CLK000157,CUST0079,,tiktok,2023-02-14T07:52:30,Campaign_1,tiktok,cpc
CLK000158,CUST0190,,google_ads,2023-11-03T11:57:57,Campaign_8,tiktok,cpm
CLK000159,CUST0060,,organic,2023-05-28T04:18:14,Campaign_1,google,email
CLK000160,CUST0393,,google_ads,2023-02-03T09:29:23,Campaign_6,tiktok,email
CLK000161,CUST0497,,organic,2023-02-04T16:38:21,Campaign_4,tiktok,cpc
CLK000162,,KwIccRrpXC,meta_ads,2023-02-20T12:50:05,Campaign_8,google,email
CLK000163,CUST0448,,email,2023-08-30T22:30:22,Campaign_1,newsletter,organic
CLK000164,CUST0311,,tiktok,2023-08-31T06:22:37,Campaign_4,tiktok,email
CLK000165,CUST0333,,tiktok,2023-10-15T00:55:47,Campaign_9,google,cpm
CLK000166,CUST0404,,organic,2023-03-24T00:12:26,Campaign_9,facebook,email
CLK000167,CUST0150,,organic,2023-02-24T09:52:12,Campaign_3,tiktok,organic
CLK000168,CUST0167,,email,2023-12-22T20:34:34,Campaign_2,newsletter,cpc
CLK000169,CUST0269,,meta_ads,2023-04-02T12:59:58,Campaign_6,google,organic
CLK000170,CUST0447,,meta_ads,2023-04-12T05:17:30,Campaign_5,newsletter,email
CLK000171,,KIbcbsEXCo,email,2023-12-04T00:17:44,Campaign_9,newsletter,email
CLK000172,CUST0324,,meta_ads,2023-11-24T01:34:57,Campaign_6,google,organic
CLK000173,CUST0006,,email,2023-05-27T05:02:41,Campaign_2,newsletter,cpc
CLK000174,CUST0290,,email,2023-07-14T22:37:22,Campaign_8,facebook,cpc
CLK000175,CUST0255,,google_ads,2023-08-18T03:04:11,Campaign_9,google,email
CLK000176,CUST0497,,organic,2023-07-27T02:45:17,Campaign_9,google,cpm
CLK000177,CUST0458,,google_ads,2023-03-31T06:06:11,Campaign_9,tiktok,email
CLK000178,CUST0309,,google_ads,2023-09-21T20:07:43,Campaign_3,google,organic
CLK000179,CUST0028,,google_ads,2023-05-28T23:23:03,Campaign_5,tiktok,organic
CLK000180,,WuhwfTlfwE,organic,2023-06-03T06:31:04,Campaign_3,facebook,organic
CLK000181,CUST0476,,organic,2023-11-04T11:55:34,Campaign_10,tiktok,email
CLK000182,CUST0144,,tiktok,2023-01-15T10:01:41,Campaign_9,google,email
CLK000183,CUST0062,,organic,2023-12-17T23:29:46,Campaign_4,facebook,cpc
CLK000184,CUST0389,,tiktok,2023-10-28T14:15:49,Campaign_8,google,email
CLK000185,CUST0019,,tiktok,2023-03-08T23:43:12,Campaign_7,google,organic
CLK000186,CUST0428,,tiktok,2023-06-23T21:46:24,Campaign_2,newsletter,organic
CLK000187,CUST0019,,tiktok,2023-04-12T22:36:20,Campaign_2,tiktok,cpm
CLK000188,CUST0221,,tiktok,2023-04-21T06:24:32,Campaign_6,facebook,email
CLK000189,,MoZnIRPflL,organic,2023-08-05T14:11:11,Campaign_1,tiktok,email
CLK000190,CUST0425,,organic,2023-02-22T10:38:09,Campaign_1,facebook,cpm
CLK000191,CUST0228,,meta_ads,2023-08-19T18:37:09,Campaign_7,tiktok,cpm
CLK000192,CUST0160,,meta_ads,2023-11-14T04:40:55,Campaign_8,newsletter,cpc
CLK000193,CUST0361,,organic,2023-04-20T06:04:23,Campaign_2,tiktok,email
CLK000194,CUST0134,,tiktok,2023-01-02T07:42:30,Campaign_3,newsletter,cpc
CLK000195,CUST0098,,tiktok,2023-03-16T06:52:29,Campaign_5,facebook,organic
CLK000196,CUST0181,,tiktok,2023-05-30T16:04:14,Campaign_2,facebook,cpm
CLK000197,CUST0419,,organic,2023-10-07T13:41:51,Campaign_3,google,cpm
CLK000198,,BWSsdaIogY,tiktok,2023-10-28T02:22:52,Campaign_3,newsletter,organic
CLK000199,CUST0004,,tiktok,2023-06-06T02:34:04,Campaign_9,google,organic
CLK000200,CUST0332,,email,2023-12-25T07:49:17,Campaign_3,google,email
CLK000201,CUST0081,,organic,2023-01-28T21:25:10,Campaign_3,newsletter,cpm
CLK000202,CUST0106,,tiktok,2023-01-13T16:01:55,Campaign_3,facebook,email
CLK000203,CUST0272,,google_ads,2023-10-12T18:52:50,Campaign_4,facebook,email
CLK000204,CUST0241,,meta_ads,2023-06-25T06:26:22,Campaign_4,facebook,cpm
CLK000205,CUST0450,,organic,2023-02-18T16:34:20,Campaign_8,newsletter,email
CLK000206,CUST0225,,tiktok,2023-06-18T17:03:46,Campaign_10,tiktok,cpc
CLK000207,,ERNBxKNEhD,tiktok,2023-08-24T18:33:15,Campaign_10,facebook,cpc
CLK000208,CUST0104,,organic,2023-07-09T21:39:32,Campaign_6,newsletter,cpm
CLK000209,CUST0444,,organic,2023-06-08T18:56:24,Campaign_9,tiktok,cpc
CLK000210,CUST0466,,tiktok,2023-03-31T06:54:52,Campaign_7,newsletter,email
CLK000211,CUST0331,,email,2023-03-23T06:14:00,Campaign_3,google,cpm
CLK000212,CUST0039,,organic,2023-02-17T22:33:57,Campaign_4,google,email
CLK000213,CUST0231,,email,2023-01-06T18:04:28,Campaign_6,facebook,organic
CLK000214,CUST0022,,meta_ads,2023-08-04T09:02:34,Campaign_9,facebook,cpm
CLK000215,CUST0103,,google_ads,2023-09-12T01:26:50,Campaign_6,google,cpc
CLK000216,,fuCamhdgFA,email,2023-09-08T06:42:57,Campaign_6,facebook,cpc
CLK000217,CUST0057,,tiktok,2023-04-18T04:47:57,Campaign_4,newsletter,cpc
CLK000218,CUST0185,,organic,2023-04-06T13:32:23,Campaign_5,google,organic
CLK000219,CUST0297,,google_ads,2023-01-09T08:17:23,Campaign_7,newsletter,cpc
CLK000220,CUST0257,,organic,2023-11-25T13:35:20,Campaign_3,facebook,email
CLK000221,CUST0181,,google_ads,2023-04-23T12:14:04,Campaign_7,google,cpm
CLK000222,CUST0211,,meta_ads,2023-11-11T11:18:56,Campaign_3,tiktok,email
CLK000223,CUST0283,,email,2023-02-21T04:43:16,Campaign_3,tiktok,cpc
CLK000224,CUST0327,,email,2023-09-28T10:05:09,Campaign_3,newsletter,cpc
CLK000225,,XOrXgdpeTR,email,2023-07-12T18:57:50,Campaign_1,newsletter,cpm
CLK000226,CUST0364,,email,2023-12-10T10:02:20,Campaign_9,google,cpc
CLK000227,CUST0289,,email,2023-07-05T11:41:01,Campaign_6,facebook,email
CLK000228,CUST0272,,organic,2023-06-12T11:45:55,Campaign_6,google,cpm
CLK000229,CUST0215,,email,2023-02-06T02:17:27,Campaign_7,facebook,cpc
CLK000230,CUST0149,,google_ads,2023-06-21T20:37:44,Campaign_4,newsletter,cpm
CLK000231,CUST0028,,email,2023-09-24T09:05:06,Campaign_8,google,organic
CLK000232,CUST0387,,meta_ads,2023-08-13T16:36:24,Campaign_1,facebook,cpc
CLK000233,CUST0309,,meta_ads,2023-01-11T03:53:09,Campaign_1,tiktok,email
CLK000234,,jPzGZWzAqH,email,2023-07-23T06:46:25,Campaign_9,facebook,cpc
CLK000235,CUST0119,,meta_ads,2023-06-29T08:43:07,Campaign_4,google,organic
CLK000236,CUST0481,,meta_ads,2023-03-01T07:02:40,Campaign_10,facebook,cpm
CLK000237,CUST0070,,email,2023-06-26T03:03:20,Campaign_3,tiktok,organic
CLK000238,CUST0020,,google_ads,2023-04-26T05:35:04,Campaign_10,facebook,organic
CLK000239,CUST0251,,tiktok,2023-04-24T06:17:30,Campaign_4,google,email
CLK000240,CUST0404,,tiktok,2023-05-21T04:50:03,Campaign_10,tiktok,email
CLK000241,CUST0280,,google_ads,2023-01-23T07:17:28,Campaign_8,facebook,organic
CLK000242,CUST0386,,organic,2023-03-26T03:39:06,Campaign_7,newsletter,cpm
CLK000243,,ysYHHoVCCs,google_ads,2023-12-06T14:57:50,Campaign_8,newsletter,cpc
CLK000244,CUST0316,,email,2023-01-22T01:17:20,Campaign_4,google,email
CLK000245,CUST0405,,meta_ads,2023-02-06T21:22:09,Campaign_2,facebook,organic
CLK000246,CUST0301,,email,2023-01-01T22:02:27,Campaign_5,facebook,cpm
CLK000247,CUST0122,,google_ads,2023-11-10T02:11:16,Campaign_6,newsletter,email
CLK000248,CUST0136,,google_ads,2023-02-14T20:50:04,Campaign_1,google,organic
CLK000249,CUST0208,,google_ads,2023-02-05T04:46:49,Campaign_10,facebook,cpm
CLK000250,CUST0168,,meta_ads,2023-01-03T18:29:56,Campaign_7,facebook,cpm
CLK000251,CUST0415,,organic,2023-01-22T04:31:21,Campaign_10,facebook,cpc
CLK000252,,ZMguRlgecC,meta_ads,2023-03-15T21:44:15,Campaign_2,google,cpc
CLK000253,CUST0244,,google_ads,2023-09-26T09:29:53,Campaign_8,google,organic
CLK000254,CUST0163,,organic,2023-12-24T18:35:05,Campaign_5,google,organic
CLK000255,CUST0391,,google_ads,2023-08-23T11:06:33,Campaign_10,tiktok,cpc
CLK000256,CUST0284,,google_ads,2023-08-21T05:55:12,Campaign_1,google,organic
CLK000257,CUST0212,,organic,2023-11-06T21:11:54,Campaign_4,tiktok,cpm
CLK000258,CUST0411,,organic,2023-03-29T16:53:51,Campaign_6,tiktok,cpc
CLK000259,CUST0242,,organic,2023-04-03T16:12:13,Campaign_6,facebook,organic
CLK000260,CUST0057,,meta_ads,2023-09-11T06:34:23,Campaign_1,facebook,cpm
CLK000261,,PYOtZcvMbp,meta_ads,2023-03-17T01:24:09,Campaign_6,newsletter,email
CLK000262,CUST0228,,tiktok,2023-02-01T12:24:13,Campaign_5,google,organic
CLK000263,CUST0242,,google_ads,2023-07-13T13:11:53,Campaign_6,facebook,cpm
CLK000264,CUST0066,,organic,2023-12-02T10:40:12,Campaign_10,newsletter,organic
CLK000265,CUST0084,,organic,2023-02-17T09:19:47,Campaign_6,newsletter,cpc
CLK000266,CUST0206,,email,2023-12-01T17:10:50,Campaign_4,google,email
CLK000267,CUST0498,,google_ads,2023-05-04T04:58:11,Campaign_2,google,cpc
CLK000268,CUST0133,,meta_ads,2023-10-08T21:49:12,Campaign_5,google,cpm
CLK000269,CUST0150,,email,2023-05-02T01:45:26,Campaign_6,tiktok,email
CLK000270,,wdIkdMUUnD,google_ads,2023-09-23T00:21:55,Campaign_7,newsletter,organic
CLK000271,CUST0159,,tiktok,2023-09-12T05:49:05,Campaign_1,tiktok,email
CLK000272,CUST0380,,google_ads,2023-03-16T14:05:37,Campaign_5,google,cpc
CLK000273,CUST0333,,google_ads,2023-12-29T09:29:27,Campaign_8,newsletter,cpc
CLK000274,CUST0237,,google_ads,2023-05-31T06:39:31,Campaign_2,facebook,cpc
CLK000275,CUST0059,,google_ads,2023-09-19T00:27:20,Campaign_3,newsletter,cpm
CLK000276,CUST0273,,meta_ads,2023-11-29T20:36:50,Campaign_2,google,email
CLK000277,CUST0084,,google_ads,2023-04-05T21:53:09,Campaign_6,newsletter,email
CLK000278,CUST0184,,organic,2023-04-11T18:58:42,Campaign_1,google,cpc
CLK000279,,DISWVpgucU,organic,2023-08-03T17:55:02,Campaign_3,tiktok,cpc
CLK000280,CUST0063,,organic,2023-12-04T21:38:11,Campaign_5,facebook,organic
CLK000281,CUST0391,,meta_ads,2023-04-28T15:45:45,Campaign_2,google,organic
CLK000282,CUST0450,,organic,2023-05-04T03:37:12,Campaign_5,newsletter,email
CLK000283,CUST0074,,tiktok,2023-12-20T05:50:29,Campaign_9,facebook,cpm
CLK000284,CUST0118,,google_ads,2023-09-08T04:34:22,Campaign_7,tiktok,cpm
CLK000285,CUST0381,,google_ads,2023-11-06T08:47:55,Campaign_2,newsletter,organic
CLK000286,CUST0205,,google_ads,2023-03-29T02:46:31,Campaign_9,tiktok,cpc
CLK000287,CUST0322,,tiktok,2023-08-27T05:07:51,Campaign_3,facebook,organic
CLK000288,,VvqdNonjWf,organic,2023-10-20T01:44:06,Campaign_5,tiktok,cpc
CLK000289,CUST0221,,google_ads,2023-10-30T14:00:02,Campaign_6,tiktok,cpc
CLK000290,CUST0050,,meta_ads,2023-07-04T18:49:28,Campaign_2,facebook,organic
CLK000291,CUST0329,,organic,2023-10-16T11:40:40,Campaign_4,google,cpc
CLK000292,CUST0485,,organic,2023-07-31T00:07:38,Campaign_10,google,email
CLK000293,CUST0275,,organic,2023-08-12T22:19:33,Campaign_6,newsletter,email
CLK000294,CUST0028,,google_ads,2023-08-05T11:36:24,Campaign_9,facebook,cpc
CLK000295,CUST0141,,google_ads,2023-09-28T02:31:33,Campaign_6,tiktok,organic
CLK000296,CUST0251,,tiktok,2023-11-22T08:59:23,Campaign_8,facebook,cpm
CLK000297,,nlZRSywFbI,email,2023-10-27T17:22:19,Campaign_6,facebook,organic
CLK000298,CUST0429,,meta_ads,2023-01-30T17:03:40,Campaign_8,tiktok,cpc
CLK000299,CUST0131,,google_ads,2023-11-05T19:27:15,Campaign_10,facebook,email
CLK000300,CUST0010,,google_ads,2023-12-21T03:51:56,Campaign_2,tiktok,email
CLK000301,CUST0286,,email,2023-09-28T12:08:32,Campaign_8,tiktok,cpc
CLK000302,CUST0378,,email,2023-05-20T05:10:22,Campaign_3,google,organic
CLK000303,CUST0371,,tiktok,2023-01-13T15:00:31,Campaign_10,tiktok,email
CLK000304,CUST0472,,email,2023-03-01T11:33:54,Campaign_9,google,organic
CLK000305,CUST0229,,meta_ads,2023-06-01T16:23:17,Campaign_7,google,email
CLK000306,,XMFHieWeFS,google_ads,2023-11-12T13:01:46,Campaign_7,facebook,email
CLK000307,CUST0263,,email,2023-01-11T01:40:58,Campaign_9,google,email
CLK000308,CUST0258,,meta_ads,2023-02-04T13:49:08,Campaign_2,facebook,cpc
CLK000309,CUST0236,,email,2023-05-10T00:40:28,Campaign_10,facebook,cpm
CLK000310,CUST0399,,meta_ads,2023-03-23T10:14:26,Campaign_4,google,cpm
CLK000311,CUST0169,,organic,2023-07-08T18:16:28,Campaign_8,facebook,organic
