payment_id,order_id,attempt_number,payment_provider,payment_method,status,amount,currency,created_at,processed_at,failure_reason
PAY000080,ORD00748,1,STRIPE,apple_pay,failed,348.35,USD,2023/11/07 19:57,2023-07-09T01:39:45,
PAY000081,ORD00758,1,STRIPE,bank_transfer,captured,59.07,EUR,2023/05/13 03:29,2023-09-03T11:50:16,insufficient_funds
PAY000082,ORD00865,2,paypal,bank_transfer,authorized,185.16,AED,2023/02/06 08:32,2023-07-23T19:28:05,
PAY000083,ORD00618,3,STRIPE,bank_transfer,failed,358.35,EUR,2023/04/13 07:08,2023-01-18T08:45:01,
PAY000084,ORD00522,3,STRIPE,card,authorized,162.57,EUR,2023/12/11 18:33,2023-07-07T17:35:20,
PAY000085,ORD00668,3,stripe,card,captured,489.11,EUR,2023/11/27 10:19,2023-01-20T02:45:34,insufficient_funds
PAY000086,ORD00549,2,stripe,apple_pay,refunded,411.38,AED,2023/08/22 16:37,2023-01-29T23:46:03,
PAY000087,ORD00597,3,paypal,apple_pay,partially_refunded,228.74,USD,2023/12/06 07:34,2023-12-09T17:18:40,insufficient_funds
PAY000088,ORD00655,2,adyen,apple_pay,refunded,261.07,EUR,2023/06/10 00:14,,
PAY000089,ORD00589,2,stripe,card,refunded,365.56,EUR,2023/04/26 19:04,2023-11-13T06:47:27,insufficient_funds
PAY000090,ORD00443,1,STRIPE,bank_transfer,failed,245.09,EUR,2023/07/16 12:33,2023-09-15T01:24:12,
PAY000091,ORD00122,2,paypal,apple_pay,refunded,356.15,USD,2023/08/22 13:38,2023-12-20T09:55:37,
PAY000092,ORD00151,3,paypal,card,authorized,259.43,AED,2023/10/28 14:25,2023-10-16T13:37:37,
PAY000093,ORD00039,1,stripe,apple_pay,partially_refunded,190.46,AED,2023/09/15 01:15,2023-04-29T04:16:46,
PAY000094,ORD00842,1,STRIPE,card,failed,54.33,AED,2023/05/25 19:11,2023-01-27T18:52:15,
PAY000095,ORD00642,3,adyen,bank_transfer,captured,295.71,EUR,2023/01/10 07:22,2023-07-01T04:41:22,
PAY000096,ORD00308,2,paypal,apple_pay,failed,200.5,AED,2023/02/17 12:12,2023-05-15T03:08:46,
PAY000097,ORD00587,2,adyen,bank_transfer,authorized,461.57,EUR,2023/04/14 23:28,2023-10-15T16:02:42,
PAY000098,ORD00952,3,stripe,apple_pay,authorized,226.56,EUR,2023/01/06 02:21,2023-03-04T17:51:59,
PAY000099,ORD00079,3,stripe,apple_pay,partially_refunded,280.39,AED,2023/11/20 22:38,2023-04-22T08:02:39,
PAY000100,ORD00102,1,adyen,apple_pay,refunded,199.44,USD,2023/10/01 21:15,2023-08-18T10:38:35,
PAY000101,ORD00576,1,paypal,apple_pay,failed,22.66,USD,2023/08/18 17:05,2023-11-11T17:08:53,
PAY000102,ORD00129,3,paypal,apple_pay,captured,485.84,USD,2023/11/12 07:31,2023-02-28T20:39:58,
PAY000103,ORD00874,3,adyen,bank_transfer,authorized,291.82,AED,2023/08/16 05:55,2023-05-30T07:31:40,
PAY000104,ORD00192,1,STRIPE,apple_pay,refunded,231.69,USD,2023/08/21 22:23,2023-10-17T19:35:58,
PAY000105,ORD00426,2,paypal,card,authorized,78.38,EUR,2023/10/17 22:52,2023-06-03T01:48:11,
PAY000106,ORD00285,1,stripe,card,captured,75.48,AED,2023/03/27 12:13,2023-04-15T08:08:17,
PAY000107,ORD00558,1,stripe,card,refunded,486.26,AED,2023/03/27 17:08,2023-12-13T01:41:04,
PAY000108,ORD00367,3,stripe,card,refunded,433.48,AED,2023/01/29 00:38,2023-05-08T03:34:08,insufficient_funds
PAY000109,ORD00312,2,paypal,card,failed,153.95,AED,2023/03/05 18:29,2023-03-24T01:21:14,
PAY000110,ORD00879,2,stripe,apple_pay,failed,427.22,EUR,2023/06/18 15:47,,
PAY000111,ORD00144,2,stripe,card,partially_refunded,198.03,EUR,2023/10/19 21:29,2023-02-19T19:17:23,
PAY000112,ORD00069,3,adyen,bank_transfer,refunded,447.88,AED,2023/05/11 01:04,2023-05-19T06:18:01,
PAY000113,ORD00162,3,STRIPE,apple_pay,refunded,194.06,EUR,2023/11/12 07:23,2023-02-05T23:51:16,
PAY000114,ORD00047,1,STRIPE,bank_transfer,failed,11.22,USD,2023/10/16 12:48,2023-11-08T07:16:55,
PAY000115,ORD00066,3,STRIPE,apple_pay,failed,463.43,EUR,2023/12/06 19:38,2023-08-02T08:05:38,
PAY000116,ORD00145,1,STRIPE,bank_transfer,authorized,157.34,USD,2023/04/01 15:40,2023-01-26T16:08:25,
PAY000117,ORD00370,2,paypal,bank_transfer,authorized,193.16,EUR,2023/04/24 13:27,2023-08-14T08:24:42,
PAY000118,ORD00153,2,stripe,card,failed,351.37,AED,2023/06/27 20:45,2023-07-24T06:31:05,
PAY000119,ORD00604,2,STRIPE,card,captured,438.68,USD,2023/04/23 10:27,2023-01-06T10:09:14,
PAY000120,ORD00293,1,paypal,apple_pay,refunded,218.21,AED,2023/03/17 11:11,2023-01-21T02:30:29,
PAY000121,ORD00824,2,stripe,card,authorized,364.31,AED,2023/07/06 13:52,2023-04-05T10:52:12,insufficient_funds
PAY000122,ORD00212,3,stripe,apple_pay,authorized,469.78,EUR,2023/03/30 20:56,2023-06-18T05:06:10,
PAY000123,ORD00423,1,stripe,card,refunded,401.23,USD,2023/08/02 03:07,2023-06-27T03:13:51,insufficient_funds
PAY000124,ORD00630,3,paypal,bank_transfer,partially_refunded,166.84,EUR,2023/02/20 01:11,2023-05-09T10:03:13,
PAY000125,ORD00860,1,paypal,bank_transfer,partially_refunded,329.33,USD,2023/02/25 10:52,2023-12-02T10:29:56,
PAY000126,ORD00593,3,STRIPE,card,authorized,192.42,EUR,2023/03/11 14:19,2023-10-02T11:11:21,
PAY000127,ORD00013,2,stripe,card,captured,105.67,USD,2023/07/15 00:51,2023-06-17T16:04:56,
PAY000128,ORD00011,3,adyen,bank_transfer,authorized,340.89,USD,2023/03/07 07:44,2023-04-22T23:12:45,
PAY000129,ORD00099,2,STRIPE,card,refunded,210.34,USD,2023/02/10 00:55,2023-05-03T08:21:30,insufficient_funds
PAY000130,ORD00328,3,STRIPE,card,authorized,491.72,EUR,2023/06/14 19:50,2023-12-13T17:50:20,
PAY000131,ORD00870,3,STRIPE,card,captured,427.91,EUR,2023/01/15 12:12,2023-01-13T05:40:04,
PAY000132,ORD00238,3,STRIPE,card,captured,33.12,EUR,2023/02/24 07:23,,
PAY000133,ORD00098,3,stripe,card,authorized,381.5,EUR,2023/07/27 10:57,2023-04-30T03:05:31,
PAY000134,ORD00590,1,STRIPE,card,captured,188.17,AED,2023/05/28 02:58,2023-02-15T08:07:49,
PAY000135,ORD00163,1,adyen,apple_pay,refunded,342.84,EUR,2023/02/19 00:38,2023-03-26T02:39:23,
PAY000136,ORD00513,2,adyen,apple_pay,partially_refunded,226.93,USD,2023/03/09 06:55,2023-04-13T09:56:41,
PAY000137,ORD00441,2,STRIPE,apple_pay,captured,375.26,AED,2023/11/11 15:58,2023-08-15T13:09:11,
PAY000138,ORD00254,2,paypal,bank_transfer,refunded,316.3,USD,2023/04/18 11:17,2023-09-15T01:05:05,
PAY000139,ORD00653,3,adyen,card,partially_refunded,241.23,USD,2023/05/19 08:07,2023-06-07T04:41:28,
PAY000140,ORD00095,2,STRIPE,apple_pay,refunded,191.75,EUR,2023/08/07 12:56,2023-11-25T23:11:46,insufficient_funds
PAY000141,ORD00500,2,STRIPE,apple_pay,captured,437.45,AED,2023/01/24 12:38,2023-08-29T14:59:00,
PAY000142,ORD00427,2,stripe,apple_pay,refunded,393.55,EUR,2023/03/27 02:51,2023-04-07T18:50:20,
PAY000143,ORD00596,3,adyen,card,failed,440.3,EUR,2023/12/25 18:28,2023-10-24T23:22:16,
PAY000144,ORD00737,2,STRIPE,apple_pay,captured,284.98,AED,2023/09/25 17:40,2023-09-29T17:46:02,
PAY000145,ORD00131,3,adyen,bank_transfer,captured,85.51,USD,2023/12/07 18:14,2023-12-20T17:06:52,
PAY000146,ORD00398,2,STRIPE,apple_pay,authorized,175.99,USD,2023/03/02 20:07,2023-09-06T22:07:15,
PAY000147,ORD00661,3,paypal,card,partially_refunded,466.3,EUR,2023/04/16 10:07,2023-03-24T12:40:00,
PAY000148,ORD00294,2,adyen,bank_transfer,refunded,130.71,AED,2023/01/11 03:35,2023-06-10T09:03:17,
PAY000149,ORD00403,3,STRIPE,apple_pay,partially_refunded,240.49,AED,2023/04/02 19:04,2023-08-28T04:42:27,
PAY000150,ORD00911,3,stripe,apple_pay,authorized,183.7,USD,2023/09/19 16:22,2023-07-14T05:12:18,insufficient_funds
PAY000151,ORD00404,3,STRIPE,bank_transfer,refunded,53.31,USD,2023/01/09 23:30,2023-07-13T01:20:01,
PAY000152,ORD00486,1,paypal,card,refunded,348.66,USD,2023/02/07 01:22,2023-04-17T08:39:01,
PAY000153,ORD00434,2,stripe,bank_transfer,captured,199.43,EUR,2023/08/11 20:35,2023-03-22T18:45:37,insufficient_funds
PAY000154,ORD00126,2,paypal,card,partially_refunded,386.42,EUR,2023/06/04 03:00,,insufficient_funds
PAY000155,ORD00658,2,STRIPE,bank_transfer,partially_refunded,495.83,AED,2023/03/05 20:45,2023-05-31T22:01:06,
PAY000156,ORD00304,2,paypal,card,captured,302.95,EUR,2023/02/23 20:43,2023-10-18T12:20:33,
PAY000157,ORD00882,3,adyen,card,captured,203.75,AED,2023/04/12 20:28,2023-07-16T08:47:10,
PAY000158,ORD00082,3,stripe,card,refunded,354.23,EUR,2023/10/07 01:53,2023-04-24T10:51:51,
PAY000159,ORD00091,3,paypal,apple_pay,authorized,211.73,AED,2023/03/29 01:39,2023-03-26T20:06:33,
PAY000160,ORD00615,1,stripe,card,refunded,62.64,EUR,2023/11/01 23:13,2023-10-28T08:12:47,
PAY000161,ORD00117,2,STRIPE,bank_transfer,partially_refunded,143.33,AED,2023/01/14 03:51,2023-10-23T16:56:08,
PAY000162,ORD00200,1,STRIPE,apple_pay,failed,115.57,AED,2023/06/12 19:48,2023-11-20T14:16:24,
PAY000163,ORD00820,1,adyen,bank_transfer,authorized,147.91,AED,2023/07/31 20:23,2023-11-06T13:54:21,
PAY000164,ORD00091,3,stripe,card,refunded,251.88,USD,2023/01/15 15:21,2023-01-29T16:55:23,
PAY000165,ORD00931,3,stripe,card,refunded,15.11,EUR,2023/08/13 14:32,2023-09-12T03:56:32,
PAY000166,ORD00679,3,stripe,card,authorized,425.73,AED,2023/12/16 02:54,2023-12-25T08:11:43,insufficient_funds
PAY000167,ORD00934,1,STRIPE,bank_transfer,partially_refunded,417.09,EUR,2023/11/28 08:32,2023-06-11T22:39:48,
PAY000168,ORD00414,3,stripe,bank_transfer,authorized,439.32,AED,2023/01/16 08:41,2023-04-06T17:03:36,
PAY000169,ORD00125,1,adyen,bank_transfer,failed,158.16,EUR,2023/12/11 22:12,2023-03-02T13:25:55,
PAY000170,ORD00215,2,STRIPE,card,refunded,40.08,EUR,2023/08/08 14:36,2023-09-18T16:58:04,insufficient_funds
PAY000171,ORD00858,3,stripe,card,partially_refunded,197.26,USD,2023/05/06 19:12,2023-11-02T17:16:37,
PAY000172,ORD00876,3,stripe,apple_pay,authorized,109.61,USD,2023/10/31 23:12,2023-10-01T23:02:25,insufficient_funds
PAY000173,ORD00699,2,stripe,card,failed,454.04,AED,2023/12/03 21:02,2023-01-02T16:09:16,insufficient_funds
PAY000174,ORD00956,3,stripe,apple_pay,authorized,68.42,AED,2023/06/28 09:41,2023-11-27T12:40:53,
PAY000175,ORD00325,1,paypal,bank_transfer,authorized,388.58,AED,2023/03/24 18:29,2023-06-19T09:07:03,
PAY000176,ORD00523,2,paypal,apple_pay,failed,431.49,USD,2023/08/24 00:50,,insufficient_funds
PAY000177,ORD00568,1,stripe,bank_transfer,refunded,157.82,USD,2023/09/13 09:28,2023-05-28T04:04:39,insufficient_funds
PAY000178,ORD00592,2,STRIPE,card,captured,68.3,EUR,2023/12/07 14:01,2023-01-19T14:19:18,insufficient_funds
PAY000179,ORD00244,1,adyen,card,failed,35.19,AED,2023/09/15 15:53,2023-06-18T07:02:40,
PAY000180,ORD00190,2,stripe,apple_pay,partially_refunded,134.1,EUR,2023/05/11 22:19,2023-03-06T22:36:35,
PAY000181,ORD00180,3,paypal,bank_transfer,failed,447.78,USD,2023/02/23 22:55,2023-09-03T19:57:20,
PAY000182,ORD00499,3,stripe,bank_transfer,refunded,296.04,AED,2023/10/01 17:05,2023-08-27T06:59:46,
PAY000183,ORD00539,2,paypal,apple_pay,partially_refunded,148.34,AED,2023/08/21 04:41,2023-03-27T18:59:25,
PAY000184,ORD00032,2,stripe,bank_transfer,failed,222.02,EUR,2023/09/15 15:24,2023-12-23T03:11:41,
PAY000185,ORD00375,2,adyen,card,captured,229.64,AED,2023/02/03 13:30,2023-06-26T23:17:22,insufficient_funds
PAY000186,ORD00414,1,adyen,apple_pay,failed,22.69,EUR,2023/12/06 09:56,2023-01-04T02:31:06,
PAY000187,ORD00680,1,stripe,apple_pay,failed,64.5,USD,2023/01/02 23:28,2023-11-14T20:09:02,
PAY000188,ORD00664,2,STRIPE,apple_pay,authorized,395.85,AED,2023/06/22 20:26,2023-10-30T03:45:32,
PAY000189,ORD00898,1,stripe,bank_transfer,refunded,210.5,AED,2023/01/23 21:52,2023-09-19T02:26:15,
PAY000190,ORD00996,1,paypal,card,partially_refunded,78.95,EUR,2023/06/08 07:30,2023-03-07T10:32:19,insufficient_funds
PAY000191,ORD00738,1,stripe,apple_pay,captured,78.6,USD,2023/08/03 11:00,2023-02-27T12:14:08,insufficient_funds
PAY000192,ORD00570,1,adyen,card,partially_refunded,146.08,EUR,2023/12/03 10:45,2023-03-02T09:46:52,
PAY000193,ORD00367,3,adyen,card,authorized,143.73,USD,2023/10/10 01:30,2023-10-19T18:42:37,
PAY000194,ORD00464,3,stripe,card,failed,446.05,USD,2023/10/01 14:42,2023-02-14T20:10:35,
PAY000195,ORD00356,3,stripe,apple_pay,captured,166.16,EUR,2023/12/27 06:17,2023-02-26T13:15:59,insufficient_funds
PAY000196,ORD00659,3,STRIPE,card,refunded,151.74,AED,2023/09/29 22:25,2023-12-30T12:13:44,
PAY000197,ORD00980,2,stripe,bank_transfer,refunded,266.85,USD,2023/02/19 13:33,2023-12-26T20:51:25,
PAY000198,ORD00872,1,stripe,apple_pay,authorized,314.81,AED,2023/05/08 22:29,,
PAY000199,ORD00080,3,adyen,card,partially_refunded,382.87,USD,2023/12/28 02:41,2023-09-12T16:22:23,
PAY000200,ORD00481,3,paypal,apple_pay,failed,369.05,AED,2023/02/20 01:22,2023-08-02T19:59:20,insufficient_funds
PAY000201,ORD00088,3,STRIPE,card,refunded,118.79,EUR,2023/07/13 07:06,2023-12-21T11:13:48,
PAY000202,ORD00728,1,STRIPE,apple_pay,partially_refunded,296.74,USD,2023/09/17 06:48,2023-02-26T15:58:12,insufficient_funds
PAY000203,ORD00844,3,paypal,apple_pay,captured,412.79,EUR,2023/08/20 13:33,2023-08-12T13:59:46,insufficient_funds
PAY000204,ORD00834,2,adyen,apple_pay,refunded,394.28,AED,2023/08/11 04:57,2023-04-29T20:41:44,
PAY000205,ORD00022,3,adyen,card,partially_refunded,448.45,USD,2023/11/20 22:31,2023-06-12T18:18:44,
PAY000206,ORD00441,3,stripe,bank_transfer,failed,186.05,USD,2023/07/21 21:05,2023-08-25T00:31:06,
PAY000207,ORD00440,1,paypal,card,authorized,200.37,EUR,2023/06/28 12:41,2023-04-04T10:29:12,
PAY000208,ORD00775,2,adyen,apple_pay,authorized,50.67,EUR,2023/02/25 21:15,2023-06-22T11:51:55,
PAY000209,ORD00949,1,paypal,bank_transfer,partially_refunded,43.86,AED,2023/12/16 02:31,2023-08-03T07:29:39,insufficient_funds
PAY000210,ORD00367,1,stripe,bank_transfer,failed,105.28,AED,2023/06/04 17:59,2023-08-28T05:12:42,
PAY000211,ORD00656,3,paypal,apple_pay,failed,157.63,EUR,2023/11/30 20:48,2023-12-20T04:12:11,insufficient_funds
PAY000212,ORD00822,1,adyen,bank_transfer,captured,127.79,USD,2023/12/16 21:30,2023-04-08T07:07:47,insufficient_funds
PAY000213,ORD00309,3,stripe,card,failed,49.21,AED,2023/02/18 22:34,2023-04-30T13:02:11,insufficient_funds
PAY000214,ORD00339,2,STRIPE,apple_pay,partially_refunded,62.93,AED,2023/05/12 06:43,2023-05-03T11:02:40,
PAY000215,ORD00867,3,stripe,apple_pay,captured,418.71,AED,2023/11/11 04:21,2023-05-28T02:53:31,insufficient_funds
PAY000216,ORD00285,1,adyen,apple_pay,authorized,127.19,USD,2023/03/28 01:40,2023-09-13T05:09:56,insufficient_funds
PAY000217,ORD00814,2,adyen,apple_pay,captured,466.15,USD,2023/05/06 02:44,2023-09-06T13:34:02,
PAY000218,ORD00830,1,paypal,card,authorized,146.97,USD,2023/08/23 23:56,2023-06-18T23:16:14,
PAY000219,ORD00927,3,stripe,apple_pay,captured,58.61,EUR,2023/03/02 23:06,2023-08-22T02:37:51,insufficient_funds
PAY000220,ORD00135,1,adyen,card,refunded,237.37,USD,2023/12/18 12:49,,insufficient_funds
PAY000221,ORD00701,1,STRIPE,apple_pay,refunded,306.02,EUR,2023/11/30 09:13,2023-11-20T23:25:37,insufficient_funds
PAY000222,ORD00227,1,adyen,card,captured,69.34,USD,2023/08/16 17:21,2023-03-02T22:20:03,
PAY000223,ORD00310,3,adyen,card,captured,84.1,EUR,2023/02/06 23:30,2023-09-18T18:07:45,
PAY000224,ORD00109,3,STRIPE,bank_transfer,captured,113.71,AED,2023/03/29 15:36,2023-07-10T01:37:21,
PAY000225,ORD00087,3,stripe,card,authorized,326.6,USD,2023/10/03 05:52,2023-08-14T22:27:49,
PAY000226,ORD00441,1,paypal,card,captured,422.43,EUR,2023/10/05 21:20,2023-10-06T19:42:03,
PAY000227,ORD00717,2,stripe,bank_transfer,failed,183.41,AED,2023/05/01 01:03,2023-01-01T22:54:15,
PAY000228,ORD00594,3,STRIPE,card,authorized,149.97,EUR,2023/10/10 07:43,2023-11-09T03:58:20,
