order_item_id,order_id,product_sku,product_name,quantity,unit_price,line_discount
ITEM000033,ORD00072,SKU565,Product 4,3,106.11,3.44
ITEM000034,ORD00881,SKU520,Product 26,2,197.97,2.58
ITEM000035,ORD00429,SKU589,Product 48,1,80.85,18.07
ITEM000036,ORD00212,SKU233,Product 14,3,89.28,14.19
ITEM000037,ORD00487,SKU262,Product 39,3,119.56,10.05
ITEM000038,ORD00702,SKU569,Product 18,2,6.45,2.85
ITEM000039,ORD00066,SKU944,Product 26,2,107.54,
ITEM000040,ORD00933,,Product 37,-1,94.74,11.52
ITEM000041,ORD00755,SKU193,Product 19,-1,72.62,16.85
ITEM000042,ORD00812,SKU404,Product 26,2,85.94,3.59
ITEM000043,ORD00633,SKU850,Product 28,-1,80.01,13.18
ITEM000044,ORD00716,SKU682,Product 7,-1,141.24,0.87
ITEM000045,ORD00907,SKU991,Product 11,3,177.1,10.75
ITEM000046,ORD00683,SKU168,Product 45,2,182.2,8.23
ITEM000047,ORD00781,SKU666,Product 8,3,19.92,2.1
ITEM000048,ORD00785,SKU898,Product 21,-1,92.93,5.06
ITEM000049,ORD00519,SKU145,Product 30,1,19.27,13.89
ITEM000050,ORD00768,SKU572,Product 25,3,150.46,17.12
ITEM000051,ORD00407,SKU138,Product 1,3,27.36,18.34
ITEM000052,ORD00335,SKU786,Product 48,-1,99.53,
ITEM000053,ORD00070,SKU184,Product 36,2,144.15,8.75
ITEM000054,ORD00483,SKU940,Product 18,2,38.26,0.36
ITEM000055,ORD00103,SKU281,Product 19,1,109.26,7.82
ITEM000056,ORD00080,SKU787,Product 49,1,137.09,3.07
ITEM000057,ORD00367,SKU282,Product 14,1,179.07,10.65
ITEM000058,ORD00453,SKU813,Product 4,1,81.17,6.17
ITEM000059,ORD00054,SKU712,Product 1,1,155.62,15.34
ITEM000060,ORD00952,SKU355,Product 24,2,44.0,0.32
ITEM000061,ORD00029,SKU114,Product 22,2,137.59,1.26
ITEM000062,ORD00982,SKU198,Product 43,2,146.18,0.88
ITEM000063,ORD00525,SKU210,Product 21,3,114.6,3.79
ITEM000064,ORD00213,SKU654,Product 26,-1,28.56,4.28
ITEM000065,ORD00366,SKU431,Product 12,1,83.42,
ITEM000066,ORD00324,SKU112,Product 25,2,94.46,1.32
ITEM000067,ORD00835,SKU385,Product 42,3,13.57,17.71
ITEM000068,ORD00421,SKU408,Product 50,-1,196.7,2.04
ITEM000069,ORD00550,SKU910,Product 37,2,54.13,1.89
ITEM000070,ORD00333,SKU746,Product 45,-1,137.19,19.45
ITEM000071,ORD00711,SKU236,Product 22,2,128.89,17.68
ITEM000072,ORD00326,SKU971,Product 43,-1,18.17,0.35
ITEM000073,ORD00934,SKU699,Product 29,-1,104.65,14.84
ITEM000074,ORD00516,SKU701,Product 46,1,50.36,12.33
ITEM000075,ORD00919,SKU227,Product 20,2,148.89,15.14
ITEM000076,ORD00635,SKU181,Product 4,2,78.03,5.93
ITEM000077,ORD00156,SKU484,Product 14,1,51.42,14.51
ITEM000078,ORD00969,SKU554,Product 48,3,31.18,
ITEM000079,ORD00326,SKU759,Product 49,1,106.57,19.55
ITEM000080,ORD00664,,Product 19,1,49.66,14.66
ITEM000081,ORD00351,SKU348,Product 14,1,181.79,13.3
ITEM000082,ORD00255,SKU920,Product 44,2,123.57,7.63
ITEM000083,ORD00330,SKU287,Product 29,1,17.6,9.83
ITEM000084,ORD00977,SKU297,Product 4,2,187.96,2.51
ITEM000085,ORD00178,SKU706,Product 36,2,51.08,1.56
ITEM000086,ORD00743,SKU578,Product 20,2,145.73,4.9
ITEM000087,ORD00181,SKU720,Product 16,3,60.64,8.97
ITEM000088,ORD00651,SKU306,Product 18,-1,20.6,19.45
ITEM000089,ORD00408,SKU486,Product 11,-1,91.07,10.11
ITEM000090,ORD00753,SKU543,Product 49,2,164.82,15.87
ITEM000091,ORD00021,SKU880,Product 25,-1,171.54,
ITEM000092,ORD00778,SKU407,Product 39,2,112.81,3.51
ITEM000093,ORD00390,SKU574,Product 20,-1,60.23,11.24
ITEM000094,ORD00493,SKU173,Product 22,2,144.4,3.91
ITEM000095,ORD00939,SKU294,Product 1,1,173.02,14.61
ITEM000096,ORD00384,SKU603,Product 26,-1,188.36,19.41
ITEM000097,ORD00383,SKU493,Product 32,3,130.0,11.77
ITEM000098,ORD00419,SKU139,Product 8,-1,186.77,3.25
ITEM000099,ORD00782,SKU546,Product 17,3,104.37,9.77
ITEM000100,ORD00706,SKU477,Product 45,1,131.93,18.53
ITEM000101,ORD00754,SKU352,Product 16,-1,11.73,16.26
ITEM000102,ORD00647,SKU823,Product 44,1,141.01,12.91
ITEM000103,ORD00268,SKU719,Product 30,2,54.59,12.04
ITEM000104,ORD00975,SKU778,Product 11,1,27.76,
ITEM000105,ORD00095,SKU759,Product 46,-1,82.55,11.72
ITEM000106,ORD00923,SKU182,Product 34,2,175.82,3.32
ITEM000107,ORD00438,SKU358,Product 45,3,102.63,10.66
ITEM000108,ORD00908,SKU491,Product 38,3,148.12,15.05
ITEM000109,ORD00947,SKU845,Product 6,1,129.06,15.53
ITEM000110,ORD00353,SKU933,Product 10,3,151.0,18.6
ITEM000111,ORD00408,SKU815,Product 20,1,197.47,16.33
ITEM000112,ORD00002,SKU199,Product 5,-1,107.37,13.09
ITEM000113,ORD00751,SKU541,Product 11,2,78.06,14.08
ITEM000114,ORD00203,SKU598,Product 12,1,92.88,16.29
ITEM000115,ORD00191,SKU305,Product 4,2,162.79,3.84
ITEM000116,ORD00924,SKU992,Product 27,-1,127.23,12.49
ITEM000117,ORD00890,SKU751,Product 11,1,62.16,
ITEM000118,ORD00387,SKU227,Product 18,1,71.72,11.71
ITEM000119,ORD00490,SKU596,Product 44,1,6.85,5.32
ITEM000120,ORD00979,,Product 1,1,23.88,10.45
ITEM000121,ORD00008,SKU484,Product 39,3,186.77,9.46
ITEM000122,ORD00346,SKU718,Product 28,3,77.3,17.8
ITEM000123,ORD00323,SKU936,Product 16,3,134.69,7.57
ITEM000124,ORD00059,SKU464,Product 22,1,5.6,17.41
ITEM000125,ORD00412,SKU842,Product 9,1,122.37,17.38
ITEM000126,ORD00287,SKU816,Product 49,2,76.84,12.37
ITEM000127,ORD00675,SKU990,Product 31,-1,133.74,0.06
ITEM000128,ORD00654,SKU932,Product 21,1,128.59,17.47
ITEM000129,ORD00993,SKU926,Product 48,3,137.2,4.67
ITEM000130,ORD00497,SKU509,Product 48,1,72.93,
ITEM000131,ORD00962,SKU587,Product 43,1,148.18,5.88
ITEM000132,ORD00200,SKU829,Product 10,1,29.93,15.94
ITEM000133,ORD00309,SKU952,Product 44,-1,37.77,8.93
ITEM000134,ORD00119,SKU593,Product 43,2,52.45,3.41
ITEM000135,ORD00967,SKU775,Product 45,1,25.57,19.87
ITEM000136,ORD00030,SKU264,Product 21,-1,154.43,4.41
ITEM000137,ORD00264,SKU781,Product 31,1,134.77,18.45
ITEM000138,ORD00649,SKU842,Product 32,1,160.13,6.66
ITEM000139,ORD00230,SKU689,Product 50,1,130.58,7.54
ITEM000140,ORD00735,SKU860,Product 48,-1,132.51,15.7
ITEM000141,ORD00990,SKU976,Product 28,2,48.59,2.31
ITEM000142,ORD00090,SKU214,Product 6,3,149.41,18.74
ITEM000143,ORD00763,SKU218,Product 37,3,29.85,
ITEM000144,ORD00321,SKU489,Product 37,1,65.61,11.8
ITEM000145,ORD00195,SKU967,Product 25,-1,67.33,7.3
ITEM000146,ORD00696,SKU915,Product 9,2,25.78,0.18
ITEM000147,ORD00873,SKU571,Product 21,2,164.15,5.94
ITEM000148,ORD00225,SKU611,Product 44,-1,33.75,5.67
ITEM000149,ORD00765,SKU781,Product 45,1,121.78,6.18
ITEM000150,ORD00706,SKU226,Product 18,-1,128.06,4.31
ITEM000151,ORD00299,SKU821,Product 25,1,196.32,6.66
ITEM000152,ORD00848,SKU833,Product 14,2,141.58,1.05
ITEM000153,ORD00887,SKU894,Product 12,-1,146.84,5.98
ITEM000154,ORD00835,SKU775,Product 11,1,111.85,6.75
ITEM000155,ORD00695,SKU584,Product 23,-1,81.26,10.56
ITEM000156,ORD00290,SKU389,Product 45,2,141.72,
ITEM000157,ORD00562,SKU503,Product 7,2,68.07,15.83
ITEM000158,ORD00887,SKU924,Product 4,3,94.22,3.27
ITEM000159,ORD00141,SKU552,Product 45,-1,61.76,2.9
ITEM000160,ORD00224,,Product 48,2,148.39,0.18
ITEM000161,ORD00744,SKU976,Product 37,1,137.27,19.77
ITEM000162,ORD00152,SKU485,Product 28,2,185.57,1.92
ITEM000163,ORD00998,SKU585,Product 12,1,27.88,10.31
ITEM000164,ORD00347,SKU707,Product 28,2,127.26,8.08
ITEM000165,ORD00035,SKU221,Product 16,-1,100.28,13.76
ITEM000166,ORD00978,SKU276,Product 42,-1,156.29,19.82
ITEM000167,ORD00687,SKU774,Product 6,-1,173.65,13.01
ITEM000168,ORD00282,SKU747,Product 42,-1,76.63,2.4
ITEM000169,ORD00085,SKU224,Product 32,2,9.49,
ITEM000170,ORD00587,SKU686,Product 31,3,140.28,1.89
ITEM000171,ORD00608,SKU285,Product 25,-1,199.99,14.05
ITEM000172,ORD00306,SKU685,Product 9,1,68.42,14.28
ITEM000173,ORD00883,SKU914,Product 35,2,84.04,14.01
ITEM000174,ORD00404,SKU669,Product 35,-1,17.47,16.74
ITEM000175,ORD00552,SKU830,Product 42,1,151.93,4.15
ITEM000176,ORD00675,SKU220,Product 12,2,6.04,8.94
ITEM000177,ORD00322,SKU225,Product 3,2,117.14,13.05
ITEM000178,ORD00090,SKU675,Product 17,1,21.5,2.49
ITEM000179,ORD00306,SKU472,Product 35,2,87.5,18.9
ITEM000180,ORD00001,SKU354,Product 20,1,189.51,10.39
ITEM000181,ORD00802,SKU400,Product 43,-1,32.27,9.81
ITEM000182,ORD00321,SKU635,Product 23,2,139.15,
ITEM000183,ORD00679,SKU939,Product 3,2,12.16,2.83
ITEM000184,ORD00877,SKU952,Product 14,2,122.42,4.32
ITEM000185,ORD00368,SKU384,Product 9,-1,19.5,5.1
ITEM000186,ORD00391,SKU765,Product 11,-1,93.93,18.89
ITEM000187,ORD00693,SKU535,Product 45,2,109.5,1.41
ITEM000188,ORD00751,SKU375,Product 41,2,144.32,11.27
ITEM000189,ORD00664,SKU940,Product 33,2,86.84,3.07
ITEM000190,ORD00807,SKU544,Product 25,1,192.98,4.95
ITEM000191,ORD00277,SKU227,Product 35,1,138.38,8.14
ITEM000192,ORD00338,SKU755,Product 6,3,182.3,15.56
ITEM000193,ORD00150,SKU989,Product 15,3,6.92,7.54
ITEM000194,ORD00993,SKU327,Product 25,1,157.63,2.47
ITEM000195,ORD00540,SKU845,Product 20,-1,23.63,
ITEM000196,ORD00358,SKU817,Product 37,3,112.55,12.15
ITEM000197,ORD00919,SKU149,Product 11,3,189.57,7.79
ITEM000198,ORD00354,SKU925,Product 48,-1,97.99,2.55
ITEM000199,ORD00010,SKU803,Product 33,2,133.22,2.85
ITEM000200,ORD00582,,Product 48,3,15.31,14.51
ITEM000201,ORD00998,SKU479,Product 46,2,137.25,8.36
ITEM000202,ORD00469,SKU287,Product 29,3,160.7,10.04
ITEM000203,ORD00283,SKU538,Product 34,2,64.51,17.16
ITEM000204,ORD00971,SKU412,Product 27,3,169.82,12.69
ITEM000205,ORD00079,SKU847,Product 16,1,37.2,1.15
ITEM000206,ORD00762,SKU392,Product 36,-1,162.63,0.21
ITEM000207,ORD00972,SKU534,Product 44,2,98.53,10.3
ITEM000208,ORD00694,SKU645,Product 45,1,84.07,
ITEM000209,ORD00632,SKU294,Product 48,1,144.26,14.05
ITEM000210,ORD00768,SKU453,Product 16,1,123.44,19.29
ITEM000211,ORD00691,SKU882,Product 34,2,39.09,7.34
ITEM000212,ORD00137,SKU626,Product 23,1,87.43,7.58
ITEM000213,ORD00383,SKU215,Product 22,2,167.19,17.02
ITEM000214,ORD00879,SKU220,Product 19,3,99.21,5.3
ITEM000215,ORD00003,SKU855,Product 41,-1,47.41,6.1
ITEM000216,ORD00956,SKU758,Product 33,1,187.41,17.85
ITEM000217,ORD00869,SKU599,Product 4,3,6.15,9.21
ITEM000218,ORD00306,SKU462,Product 7,1,73.2,14.45
ITEM000219,ORD00412,SKU463,Product 1,1,89.01,3.95
ITEM000220,ORD00542,SKU626,Product 10,-1,29.15,9.75
ITEM000221,ORD00160,SKU887,Product 43,3,49.09,
ITEM000222,ORD00405,SKU483,Product 20,3,88.53,3.64
ITEM000223,ORD00832,SKU375,Product 7,-1,132.97,8.79
ITEM000224,ORD00144,SKU462,Product 48,-1,6.13,17.67
ITEM000225,ORD00727,SKU303,Product 8,2,60.56,2.67
ITEM000226,ORD00432,SKU861,Product 22,1,36.26,3.98
ITEM000227,ORD00491,SKU781,Product 18,1,87.11,11.0
ITEM000228,ORD00820,SKU798,Product 46,2,68.35,15.29
ITEM000229,ORD00903,SKU509,Product 33,-1,30.63,19.15
ITEM000230,ORD00812,SKU121,Product 9,2,72.1,0.27
ITEM000231,ORD00701,SKU342,Product 4,3,88.78,11.94
ITEM000232,ORD00009,SKU544,Product 31,3,60.03,1.65
ITEM000233,ORD00440,SKU353,Product 40,2,147.2,3.74
ITEM000234,ORD00288,SKU885,Product 8,3,198.88,
ITEM000235,ORD00254,SKU782,Product 28,2,97.41,15.65
ITEM000236,ORD00106,SKU817,Product 47,2,41.79,17.1
ITEM000237,ORD00645,SKU749,Product 10,2,28.49,8.03
ITEM000238,ORD00281,SKU296,Product 10,-1,8.44,3.99
ITEM000239,ORD00886,SKU152,Product 25,-1,107.37,14.0
ITEM000240,ORD00237,,Product 15,3,88.08,1.23
ITEM000241,ORD00438,SKU759,Product 4,3,26.46,7.27
ITEM000242,ORD00966,SKU459,Product 46,-1,53.16,17.9
ITEM000243,ORD00187,SKU141,Product 1,1,133.78,6.43
ITEM000244,ORD00293,SKU583,Product 18,1,89.03,5.05
ITEM000245,ORD00504,SKU472,Product 22,3,26.75,13.38
ITEM000246,ORD00700,SKU665,Product 50,2,69.59,14.83
ITEM000247,ORD00371,SKU860,Product 50,3,51.46,
ITEM000248,ORD00283,SKU315,Product 38,-1,22.01,2.13
ITEM000249,ORD00645,SKU860,Product 39,1,13.0,19.37
ITEM000250,ORD00906,SKU770,Product 13,2,142.41,18.51
ITEM000251,ORD00077,SKU659,Product 40,3,63.79,9.48
ITEM000252,ORD00780,SKU306,Product 35,2,13.54,3.83
ITEM000253,ORD00564,SKU828,Product 17,3,179.51,8.97
ITEM000254,ORD00735,SKU220,Product 28,1,99.15,10.48
ITEM000255,ORD00976,SKU615,Product 2,2,121.83,13.93
ITEM000256,ORD00133,SKU396,Product 3,1,159.91,13.88
ITEM000257,ORD00759,SKU934,Product 26,-1,138.52,17.41
ITEM000258,ORD00995,SKU176,Product 11,-1,151.39,7.68
ITEM000259,ORD00799,SKU499,Product 26,3,45.35,0.07
ITEM000260,ORD00586,SKU323,Product 38,1,176.44,
ITEM000261,ORD00810,SKU625,Product 30,3,64.16,4.41
ITEM000262,ORD00726,SKU374,Product 36,1,38.37,0.91
ITEM000263,ORD00244,SKU398,Product 3,2,188.7,5.56
ITEM000264,ORD00137,SKU376,Product 4,2,197.96,4.2
ITEM000265,ORD00119,SKU101,Product 42,3,128.37,19.44
ITEM000266,ORD00333,SKU185,Product 46,3,145.81,8.17
ITEM000267,ORD00627,SKU401,Product 21,1,127.06,0.21
ITEM000268,ORD00365,SKU324,Product 47,3,39.46,19.43
ITEM000269,ORD00551,SKU773,Product 50,1,145.91,13.76
ITEM000270,ORD00969,SKU769,Product 17,2,164.29,4.41
ITEM000271,ORD00276,SKU308,Product 38,-1,35.35,4.63
ITEM000272,ORD00744,SKU544,Product 24,2,180.92,1.87
ITEM000273,ORD00186,SKU570,Product 12,2,41.83,
ITEM000274,ORD00503,SKU846,Product 12,3,9.1,3.26
ITEM000275,ORD00182,SKU937,Product 26,2,18.54,1.44
ITEM000276,ORD00252,SKU565,Product 42,-1,24.55,10.54
ITEM000277,ORD00745,SKU868,Product 1,1,78.69,0.41
ITEM000278,ORD00847,SKU113,Product 49,1,30.77,15.4
ITEM000279,ORD00275,SKU246,Product 41,1,159.52,0.19
ITEM000280,ORD00811,,Product 7,3,171.28,1.7
ITEM000281,ORD00143,SKU591,Product 49,-1,164.02,6.15
ITEM000282,ORD00491,SKU258,Product 16,1,110.99,5.35
ITEM000283,ORD00557,SKU226,Product 2,1,25.05,5.93
ITEM000284,ORD00524,SKU956,Product 27,2,5.24,4.49
ITEM000285,ORD00233,SKU537,Product 25,2,73.9,5.74
ITEM000286,ORD00944,SKU800,Product 25,1,100.91,
ITEM000287,ORD00113,SKU329,Product 7,3,74.68,12.31
ITEM000288,ORD00122,SKU469,Product 6,1,122.88,3.56
ITEM000289,ORD00544,SKU442,Product 39,2,137.49,3.0
ITEM000290,ORD00684,SKU803,Product 20,3,72.94,2.08
ITEM000291,ORD00939,SKU611,Product 43,3,186.91,16.21
ITEM000292,ORD00729,SKU917,Product 5,1,173.03,19.56
ITEM000293,ORD00797,SKU771,Product 10,3,33.82,8.93
ITEM000294,ORD00816,SKU904,Product 31,1,27.07,8.55
ITEM000295,ORD00745,SKU385,Product 10,1,68.0,2.55
ITEM000296,ORD00786,SKU494,Product 23,3,101.37,9.63
ITEM000297,ORD00997,SKU523,Product 39,3,31.95,18.88
ITEM000298,ORD00944,SKU351,Product 25,-1,112.12,10.77
ITEM000299,ORD00505,SKU645,Product 35,2,80.0,
ITEM000300,ORD00595,SKU832,Product 27,2,142.1,4.7
ITEM000301,ORD00003,SKU308,Product 2,3,113.88,19.15
ITEM000302,ORD00944,SKU212,Product 4,3,75.37,16.99
ITEM000303,ORD00798,SKU938,Product 9,3,94.78,16.71
ITEM000304,ORD00565,SKU531,Product 16,2,166.43,1.12
ITEM000305,ORD00142,SKU220,Product 45,2,78.6,0.53
ITEM000306,ORD00989,SKU534,Product 24,1,141.77,13.25
ITEM000307,ORD00076,SKU588,Product 39,2,10.89,7.3
ITEM000308,ORD00081,SKU350,Product 5,1,115.99,16.27
ITEM000309,ORD00154,SKU883,Product 12,-1,149.99,14.96
ITEM000310,ORD00716,SKU406,Product 31,-1,145.9,8.88
ITEM000311,ORD00661,SKU811,Product 1,3,26.7,1.2
ITEM000312,ORD00658,SKU132,Product 39,2,103.14,
ITEM000313,ORD00012,SKU505,Product 28,-1,113.06,16.59
ITEM000314,ORD00942,SKU685,Product 33,3,143.32,8.47
ITEM000315,ORD00161,SKU378,Product 6,-1,195.7,2.5
ITEM000316,ORD00217,SKU510,Product 40,1,47.69,3.67
ITEM000317,ORD00764,SKU672,Product 39,1,164.23,9.37
ITEM000318,ORD00321,SKU768,Product 42,-1,166.31,3.3
ITEM000319,ORD00823,SKU480,Product 42,-1,42.97,2.17
ITEM000320,ORD00080,,Product 24,3,10.47,5.64
ITEM000321,ORD00555,SKU209,Product 5,2,121.44,15.13
ITEM000322,ORD00317,SKU292,Product 36,2,129.49,0.65
ITEM000323,ORD00276,SKU187,Product 37,1,114.93,15.8
ITEM000324,ORD00047,SKU149,Product 21,1,188.98,0.17
ITEM000325,ORD00366,SKU869,Product 19,-1,102.54,
ITEM000326,ORD00323,SKU869,Product 26,3,194.9,14.05
ITEM000327,ORD00100,SKU439,Product 27,1,102.92,15.5
ITEM000328,ORD00025,SKU701,Product 25,-1,119.34,17.04
ITEM000329,ORD00298,SKU265,Product 10,-1,20.36,12.52
ITEM000330,ORD00976,SKU835,Product 15,2,162.46,13.08
ITEM000331,ORD00788,SKU835,Product 11,3,92.26,2.62
ITEM000332,ORD00298,SKU468,Product 40,-1,12.8,14.26
ITEM000333,ORD00700,SKU496,Product 16,2,199.42,12.14
ITEM000334,ORD00982,SKU256,Product 37,-1,23.99,0.3
ITEM000335,ORD00785,SKU991,Product 20,1,102.29,9.1
ITEM000336,ORD00174,SKU402,Product 11,1,59.62,7.27
ITEM000337,ORD00092,SKU172,Product 12,-1,55.3,9.47
ITEM000338,ORD00263,SKU881,Product 29,2,188.27,
ITEM000339,ORD00996,SKU682,Product 32,1,75.88,5.73
ITEM000340,ORD00419,SKU977,Product 40,2,90.96,10.25
ITEM000341,ORD00640,SKU421,Product 24,1,138.03,10.12
ITEM000342,ORD00270,SKU998,Product 44,1,126.02,12.88
ITEM000343,ORD00759,SKU909,Product 16,1,35.14,2.11
ITEM000344,ORD00385,SKU262,Product 37,-1,171.5,4.46
ITEM000345,ORD00896,SKU573,Product 43,1,73.04,9.37
ITEM000346,ORD00548,SKU937,Product 30,1,21.74,14.64
ITEM000347,ORD00940,SKU506,Product 50,-1,43.9,6.57
ITEM000348,ORD00325,SKU450,Product 39,-1,46.46,14.83
ITEM000349,ORD00118,SKU385,Product 30,1,111.29,18.97
ITEM000350,ORD00150,SKU755,Product 14,3,115.8,19.76
ITEM000351,ORD00793,SKU489,Product 4,3,158.96,
ITEM000352,ORD00485,SKU318,Product 4,2,174.26,19.05
ITEM000353,ORD00701,SKU533,Product 18,3,128.96,1.67
ITEM000354,ORD00071,SKU380,Product 26,1,63.18,14.24
ITEM000355,ORD00893,SKU529,Product 34,2,135.58,5.19
ITEM000356,ORD00851,SKU155,Product 6,-1,71.69,15.06
ITEM000357,ORD00169,SKU303,Product 23,-1,98.92,10.71
ITEM000358,ORD00803,SKU264,Product 45,-1,74.17,13.86
ITEM000359,ORD00399,SKU942,Product 1,2,20.17,13.36
ITEM000360,ORD00632,,Product 10,3,134.49,16.47
ITEM000361,ORD00752,SKU860,Product 48,3,7.77,17.93
ITEM000362,ORD00957,SKU251,Product 32,3,27.15,19.4
ITEM000363,ORD00417,SKU369,Product 34,1,197.71,18.87
ITEM000364,ORD00878,SKU228,Product 41,-1,129.59,
ITEM000365,ORD00593,SKU199,Product 3,2,150.41,3.75
ITEM000366,ORD00714,SKU659,Product 50,2,122.18,4.32
ITEM000367,ORD00215,SKU295,Product 44,1,77.2,7.28
ITEM000368,ORD00310,SKU414,Product 33,1,141.37,12.98
ITEM000369,ORD00467,SKU523,Product 27,3,73.68,10.85
ITEM000370,ORD00536,SKU883,Product 22,1,185.64,9.18
ITEM000371,ORD00383,SKU281,Product 36,2,110.84,7.63
ITEM000372,ORD00866,SKU775,Product 45,-1,128.65,14.04
ITEM000373,ORD00961,SKU977,Product 7,1,162.16,2.08
ITEM000374,ORD00666,SKU116,Product 40,-1,25.22,15.0
ITEM000375,ORD00639,SKU657,Product 7,-1,103.16,16.12
ITEM000376,ORD00684,SKU396,Product 27,2,48.46,9.09
ITEM000377,ORD00391,SKU217,Product 13,-1,190.36,
ITEM000378,ORD00360,SKU912,Product 30,-1,182.06,12.9
ITEM000379,ORD00804,SKU858,Product 26,1,188.23,15.64
ITEM000380,ORD00520,SKU390,Product 18,3,64.94,18.05
ITEM000381,ORD00932,SKU524,Product 44,2,5.81,18.18
ITEM000382,ORD00034,SKU115,Product 2,2,159.15,16.82
ITEM000383,ORD00532,SKU939,Product 48,3,70.34,19.18
ITEM000384,ORD00441,SKU347,Product 36,-1,42.57,12.89
ITEM000385,ORD00849,SKU152,Product 37,-1,30.13,12.73
ITEM000386,ORD00011,SKU845,Product 12,-1,181.31,10.35
ITEM000387,ORD00448,SKU336,Product 7,2,103.33,12.63
ITEM000388,ORD00804,SKU501,Product 49,3,168.28,3.18
ITEM000389,ORD00331,SKU308,Product 6,1,10.0,0.23
ITEM000390,ORD00789,SKU707,Product 10,1,125.53,
ITEM000391,ORD00557,SKU180,Product 37,-1,9.93,14.68
ITEM000392,ORD00465,SKU749,Product 41,3,41.38,13.05
ITEM000393,ORD00228,SKU404,Product 13,2,146.63,16.14
ITEM000394,ORD00388,SKU888,Product 17,1,58.62,18.7
ITEM000395,ORD00643,SKU123,Product 41,1,26.63,18.54
ITEM000396,ORD00126,SKU209,Product 10,3,56.09,3.61
ITEM000397,ORD00080,SKU606,Product 24,2,81.21,9.82
ITEM000398,ORD00023,SKU523,Product 5,-1,192.05,1.53
ITEM000399,ORD00704,SKU529,Product 25,3,128.54,9.02
ITEM000400,ORD00165,,Product 12,3,6.98,3.57
ITEM000401,ORD00581,SKU746,Product 39,1,27.86,6.86
ITEM000402,ORD00356,SKU595,Product 40,1,35.89,14.83
ITEM000403,ORD00949,SKU224,Product 13,1,109.51,
ITEM000404,ORD00531,SKU624,Product 49,2,47.18,7.3
ITEM000405,ORD00921,SKU322,Product 2,3,32.02,1.67
ITEM000406,ORD00709,SKU229,Product 18,3,98.91,19.06
ITEM000407,ORD00357,SKU825,Product 36,3,96.07,16.18
ITEM000408,ORD00447,SKU624,Product 26,2,53.77,3.96
ITEM000409,ORD00867,SKU834,Product 18,-1,25.06,15.86
ITEM000410,ORD00602,SKU419,Product 11,2,190.98,9.76
ITEM000411,ORD00905,SKU556,Product 28,3,164.1,12.46
ITEM000412,ORD00622,SKU492,Product 28,2,115.59,7.48
ITEM000413,ORD00648,SKU939,Product 5,-1,37.61,0.68
ITEM000414,ORD00524,SKU359,Product 38,-1,62.23,16.53
ITEM000415,ORD00661,SKU643,Product 23,-1,10.84,3.6
ITEM000416,ORD00331,SKU539,Product 12,3,52.84,
ITEM000417,ORD00221,SKU772,Product 24,3,33.28,6.29
ITEM000418,ORD00010,SKU426,Product 45,1,144.78,4.28
ITEM000419,ORD00582,SKU914,Product 21,2,114.52,7.71
ITEM000420,ORD00617,SKU317,Product 34,2,25.07,5.56
ITEM000421,ORD00623,SKU926,Product 43,1,116.92,12.93
ITEM000422,ORD00699,SKU874,Product 28,3,163.61,3.96
ITEM000423,ORD00051,SKU921,Product 32,-1,14.12,5.49
